iter	Passed	Remaining
612	3508	2214
613	3510	2206
614	3513	2199
615	3516	2192
616	3518	2184
617	3520	2176
618	3522	2168
619	3525	2160
620	3529	2154
621	3533	2147
622	3536	2139
623	3538	2131
624	3540	2124
625	3543	2117
626	3548	2110
627	3550	2102
628	3551	2094
629	3554	2087
630	3564	2084
631	3567	2077
632	3570	2069
633	3572	2062
634	3575	2055
635	3578	2048
636	3580	2040
637	3583	2033
638	3585	2025
639	3587	2018
640	3596	2014
641	3597	2006
642	3600	1999
643	3603	1991
644	3607	1985
645	3609	1978
646	3611	1970
647	3613	1962
648	3615	1955
649	3617	1948
650	3625	1943
651	3628	1936
652	3631	1929
653	3634	1922
654	3639	1916
655	3641	1909
656	3643	1902
657	3646	1895
658	3648	1887
659	3661	1886
660	3670	1882
661	3673	1875
662	3677	1869
663	3685	1864
664	3688	1857
665	3691	1851
666	3692	1843
667	3698	1838
668	3702	1831
669	3705	1825
670	3709	1818
671	3721	1816
672	3724	1809
673	3728	1803
674	3729	1795
675	3733	1789
676	3743	1786
677	3757	1784
678	3764	1779
679	3768	1773
680	3778	1770
681	3782	1763
682	3786	1757
683	3792	1752
684	3796	1746
685	3799	1739
686	3809	1735
687	3810	1728
688	3824	1726
689	3828	1720
690	3836	1715
691	3841	1709
692	3845	1703
693	3856	1700
694	3860	1694
695	3870	1690
696	3873	1683
697	3876	1677
698	3881	1671
699	3885	1665
700	3887	1658
701	3890	1651
702	3899	1647
703	3902	1640
704	3905	1634
705	3907	1627
706	3911	1621
707	3916	1615
708	3919	1608
709	3922	1602
710	3929	1597
711	3931	1590
712	3933	1583
713	3936	1576
714	3945	1572
715	3953	1568
716	3959	1562
717	3964	1556
718	3966	1550
719	3970	1544
720	3981	1540
721	3986	1534
722	3996	1531
723	3999	1524
724	4003	1518
725	4007	1512
726	4009	1505
727	4013	1499
728	4017	1493
729	4025	1488
730	4027	1482
731	4031	1475
732	4038	1470
733	4040	1464
734	4044	1458
735	4047	1451
736	4056	1447
737	4059	1441
738	4063	1435
739	4067	1429
740	4071	1422
741	4073	1416
742	4076	1409
743	4079	1403
744	4090	1399
745	4092	1393
746	4097	1387
747	4104	1382
748	4107	1376
749	4117	1372
750	4120	1366
751	4122	1359
752	4126	1353
753	4131	1348
754	4135	1341
755	4138	1335
756	4140	1329
757	4149	1324
758	4151	1318
759	4153	1311
760	4158	1306
761	4163	1300
762	4167	1294
763	4169	1288
764	4171	1281
765	4177	1276
766	4182	1270
767	4186	1264
768	4192	1259
769	4195	1253
770	4197	1246
771	4201	1240
772	4214	1237
773	4217	1231
774	4221	1225
775	4225	1219
776	4227	1213
777	4230	1207
778	4232	1200
779	4242	1196
780	4246	1190
781	4248	1184
782	4252	1178
783	4258	1173
784	4260	1166
785	4264	1160
786	4273	1156
787	4276	1150
788	4280	1144
789	4283	1138
790	4287	1132
791	4289	1126
792	4292	1120
793	4295	1114
794	4303	1109
795	4306	1103
796	4308	1097
797	4313	1091
798	4317	1086
799	4319	1079
800	4321	1073
801	4323	1067
802	4332	1062
803	4334	1056
804	4336	1050
805	4339	1044
806	4344	1039
807	4347	1033
808	4349	1026
809	4351	1020
810	4354	1014
811	4359	1009
812	4363	1003
813	4367	997
814	4373	992
815	4376	986
816	4379	980
817	4380	974
818	4382	968
819	4385	962
820	4392	957
821	4396	951
822	4397	945
823	4399	939
824	4402	933
825	4408	928
826	4411	922
827	4414	916
828	4417	911
829	4424	906
830	4427	900
831	4430	894
832	4433	888
833	4437	883
834	4442	877
835	4445	872
836	4456	867
837	4459	862
838	4466	857
839	4470	851
840	4473	845
841	4475	839
842	4486	835
843	4489	829
844	4493	824
845	4501	819
846	4504	813
847	4507	807
848	4514	802
849	4518	797
850	4521	791
851	4524	785
852	4529	780
853	4532	774
854	4535	769
855	4539	763
856	4549	759
857	4552	753
858	4558	748
859	4561	742
860	4564	736
861	4570	731
862	4575	726
863	4580	720
864	4585	715
865	4590	710
866	4593	704
867	4595	698
868	4602	693
869	4607	688
870	4610	682
871	4614	677
872	4617	671
873	4621	666
874	4624	660
875	4627	655
876	4637	650
877	4644	645
878	4647	639
879	4651	634
880	4657	629
881	4666	624
882	4668	618
883	4670	612
884	4672	607
885	4676	601
886	4682	596
887	4685	590
888	4688	585
889	4696	580
890	4699	574
891	4703	569
892	4708	564
893	4711	558
894	4717	553
895	4726	548
896	4731	543
897	4733	537
898	4735	532
899	4742	526
900	4751	522
901	4754	516
902	4758	511
903	4762	505
904	4767	500
905	4771	495
906	4773	489
907	4775	483
908	4784	478
909	4787	473
910	4791	468
911	4796	462
912	4799	457
913	4802	451
914	4805	446
915	4816	441
916	4821	436
917	4826	431
918	4829	425
919	4835	420
920	4845	415
921	4849	410
922	4852	404
923	4856	399
924	4861	394
925	4865	388
926	4867	383
927	4877	378
928	4880	373
929	4889	367
930	4893	362
931	4896	357
932	4900	351
933	4910	346
934	4915	341
935	4920	336
936	4925	331
937	4935	326
938	4940	320
939	4952	316
940	4957	310
941	4960	305
942	4967	300
943	4971	294
944	4974	289
945	4976	284
946	4986	279
947	4988	273
948	4989	268
949	4993	262
950	5003	257
951	5006	252
952	5013	247
953	5017	241
954	5019	236
955	5027	231
956	5032	226
957	5040	220
958	5045	215
959	5049	210
960	5052	205
961	5063	200
962	5066	194
963	5068	189
964	5074	184
965	5078	178
966	5080	173
967	5084	168
968	5096	163
969	5100	157
970	5104	152
971	5108	147
972	5112	141
973	5121	136
974	5125	131
975	5130	126
976	5143	121
977	5156	115
978	5162	110
979	5169	105
980	5175	100
981	5185	95
982	5206	90
983	5210	84
984	5231	79
985	5236	74
986	5240	69
987	5249	63
988	5255	58
989	5259	53
990	5266	47
991	5272	42
992	5282	37
993	5286	31
994	5293	26
995	5297	21
996	5299	15
997	5302	10
998	5313	5
999	5316	0
